Time,Tobii_Timestamp,GlobalDominantHand_Rotation_X,GlobalDominantHand_Rotation_Y,GlobalDominantHand_Rotation_Z,GlobalDominantHand_Position_X,GlobalDominantHand_Position_Y,GlobalDominantHand_Position_Z,GlobalNonDominantHand_Rotation_X,GlobalNonDominantHand_Rotation_Y,GlobalNonDominantHand_Rotation_Z,GlobalNonDominantHand_Position_X,GlobalNonDominantHand_Position_Y,GlobalNonDominantHand_Position_Z,LocalDominantHand_Rotation_X,LocalDominantHand_Rotation_Y,LocalDominantHand_Rotation_Z,LocalDominantHand_Position_X,LocalDominantHand_Position_Y,LocalDominantHand_Position_Z,LocalNonDominantHand_Rotation_X,LocalNonDominantHand_Rotation_Y,LocalNonDominantHand_Rotation_Z,LocalNonDominantHand_Position_X,LocalNonDominantHand_Position_Y,LocalNonDominantHand_Position_Z,Camera_Rotation_X,Camera_Rotation_Y,Camera_Rotation_Z,Camera_Position_X,Camera_Position_Y,Camera_Position_Z,Head_Rotation_X,Head_Rotation_Y,Head_Rotation_Z,Head_Position_X,Head_Position_Y,Head_Position_Z,Eye_GazePosition_Left_Position_X,Eye_GazePosition_Left_Position_Y,Eye_GazePosition_Left_Position_Z,Eye_GazePosition_Right_Position_X,Eye_GazePosition_Right_Position_Y,Eye_GazePosition_Right_Position_Z,Eye_GazeDirection_Left_Position_X,Eye_GazeDirection_Left__Position_Y,Eye_GazeDirection_Left__Position_Z,Eye_GazeDirection_Right_Position_X,Eye_GazeDirection_Right__Position_Y,Eye_GazeDirection_Right__Position_Z,CombinedGazeRayWorld_Eye_Direction_X,CombinedGazeRayWorld_Eye_Direction_Y,CombinedGazeRayWorld_Eye_Direction_Z,CombinedGazeRayWorld_Eye_Position_X,CombinedGazeRayWorld_Eye_Position_Y,CombinedGazeRayWorld_Eye_Position_Z,PupilDiameter_Left,PupilDiameter_Right,PupilPositionInTrackingArea_Left_X,PupilPositionInTrackingArea_Left_Y,PupilPositionInTrackingArea_Right_X,PupilPositionInTrackingArea_Right_Y,UserAreaInput
0.1657715,57790652959,-0.3464157,0.3388891,0.0575601,-0.2662126,1.20111,0.05010533,-0.2627946,0.2278609,0.0485911,-0.4028026,1.099468,0.1266955,-0.3464157,0.3388891,0.0575601,-0.2662126,1.20111,0.05010533,-0.2627946,0.2278609,0.0485911,-0.4028026,1.099468,0.1266955,0.009946353,0.2244049,-0.05289639,-0.4968494,1.569646,-0.1608197,0.009811724,0.2234956,-0.05284807,-0.4924699,1.568844,-0.1483029,-0.03177582,-0.0006371308,-0.0270945,0.03224344,0.0003372497,-0.02542505,0.1027374,-0.2185669,0.9703827,-0.02008057,-0.2306976,0.9728088,0.4353696,-0.2694284,0.8589888,-0.5036732,1.569794,-0.1720355,0.002808014,0.002705978,0.5272111,0.6716785,0.4987674,0.6318889,
0.1657715,57790661291,-0.3464157,0.3388891,0.0575601,-0.2662126,1.20111,0.05010533,-0.2627946,0.2278609,0.0485911,-0.4028026,1.099468,0.1266955,-0.3464157,0.3388891,0.0575601,-0.2662126,1.20111,0.05010533,-0.2627946,0.2278609,0.0485911,-0.4028026,1.099468,0.1266955,0.009946353,0.2244049,-0.05289639,-0.4968494,1.569646,-0.1608197,0.009807589,0.2234839,-0.05284275,-0.4924645,1.568842,-0.1482939,-0.03177312,-0.0006317596,-0.02711447,0.03224473,0.0003409729,-0.02544275,0.1027527,-0.2179718,0.97052,-0.01997375,-0.2311859,0.972702,0.4354172,-0.2693691,0.8589832,-0.5036731,1.569797,-0.1720447,0.002807403,0.002703522,0.5273048,0.6716257,0.4988219,0.6320075,
0.1657715,57790669622,-0.3464157,0.3388891,0.0575601,-0.2662126,1.20111,0.05010533,-0.2627946,0.2278609,0.0485911,-0.4028026,1.099468,0.1266955,-0.3464157,0.3388891,0.0575601,-0.2662126,1.20111,0.05010533,-0.2627946,0.2278609,0.0485911,-0.4028026,1.099468,0.1266955,0.009946353,0.2244049,-0.05289639,-0.4968494,1.569646,-0.1608197,0.009803453,0.2234722,-0.05283744,-0.492459,1.568841,-0.1482849,-0.03177077,-0.0006284637,-0.02712622,0.03224611,0.0003438263,-0.02545712,0.1029663,-0.2181244,0.970459,-0.0198822,-0.2313538,0.9726563,0.4355006,-0.2695327,0.8588897,-0.5036708,1.569799,-0.1720485,0.002811218,0.002706635,0.527408,0.6716706,0.4988835,0.6320808,
0.1657715,57790677954,-0.3464157,0.3388891,0.0575601,-0.2662126,1.20111,0.05010533,-0.2627946,0.2278609,0.0485911,-0.4028026,1.099468,0.1266955,-0.3464157,0.3388891,0.0575601,-0.2662126,1.20111,0.05010533,-0.2627946,0.2278609,0.0485911,-0.4028026,1.099468,0.1266955,0.009946353,0.2244049,-0.05289639,-0.4968494,1.569646,-0.1608197,0.009799317,0.2234604,-0.05283212,-0.4924536,1.568839,-0.1482759,-0.0317683,-0.0006243896,-0.02714105,0.03224748,0.0003464508,-0.02547066,0.1032715,-0.2179718,0.9704742,-0.0196228,-0.230896,0.9727631,0.4357946,-0.2692472,0.8588301,-0.5036688,1.5698,-0.1720534,0.002807831,0.00270462,0.5275337,0.6716633,0.4989652,0.6320648,
0.1657715,57790686286,-0.3464157,0.3388891,0.0575601,-0.2662126,1.20111,0.05010533,-0.2627946,0.2278609,0.0485911,-0.4028026,1.099468,0.1266955,-0.3464157,0.3388891,0.0575601,-0.2662126,1.20111,0.05010533,-0.2627946,0.2278609,0.0485911,-0.4028026,1.099468,0.1266955,0.009946353,0.2244049,-0.05289639,-0.4968494,1.569646,-0.1608197,0.009795181,0.2234487,-0.05282681,-0.4924482,1.568838,-0.148267,-0.03176599,-0.0006213379,-0.02715274,0.03224872,0.0003484497,-0.02548239,0.1036987,-0.2177124,0.9704742,-0.01872253,-0.2307892,0.9728088,0.4363979,-0.2691174,0.8585643,-0.5036661,1.569802,-0.172056,0.002806961,0.002700897,0.527669,0.6716583,0.4991219,0.6320971,
0.1657715,57790694617,-0.3464157,0.3388891,0.0575601,-0.2662126,1.20111,0.05010533,-0.2627946,0.2278609,0.0485911,-0.4028026,1.099468,0.1266955,-0.3464157,0.3388891,0.0575601,-0.2662126,1.20111,0.05010533,-0.2627946,0.2278609,0.0485911,-0.4028026,1.099468,0.1266955,0.009946353,0.2244049,-0.05289639,-0.4968494,1.569646,-0.1608197,0.009791046,0.223437,-0.05282149,-0.4924427,1.568836,-0.148258,-0.03176344,-0.0006182403,-0.02716499,0.03224983,0.0003500977,-0.02549353,0.103653,-0.2175903,0.9705048,-0.01852417,-0.2299194,0.9730225,0.4365507,-0.2686219,0.8586418,-0.5036632,1.569802,-0.1720587,0.002805878,0.00270195,0.5277497,0.6716509,0.4991898,0.6320363,
0.1657715,57790702949,-0.3464157,0.3388891,0.0575601,-0.2662126,1.20111,0.05010533,-0.2627946,0.2278609,0.0485911,-0.4028026,1.099468,0.1266955,-0.3464157,0.3388891,0.0575601,-0.2662126,1.20111,0.05010533,-0.2627946,0.2278609,0.0485911,-0.4028026,1.099468,0.1266955,0.009946353,0.2244049,-0.05289639,-0.4968494,1.569646,-0.1608197,0.00978691,0.2234253,-0.05281617,-0.4924373,1.568835,-0.148249,-0.03176105,-0.0006149597,-0.02717822,0.03225101,0.0003508606,-0.02550226,0.1038971,-0.2177582,0.9704437,-0.01820374,-0.2295532,0.973114,0.4368018,-0.268539,0.8585401,-0.5036602,1.569803,-0.1720606,0.00280722,0.002695908,0.5278605,0.6717094,0.4992672,0.6320481,
0.1657715,57790711280,-0.3464157,0.3388891,0.0575601,-0.2662126,1.20111,0.05010533,-0.2627946,0.2278609,0.0485911,-0.4028026,1.099468,0.1266955,-0.3464157,0.3388891,0.0575601,-0.2662126,1.20111,0.05010533,-0.2627946,0.2278609,0.0485911,-0.4028026,1.099468,0.1266955,0.009946353,0.2244049,-0.05289639,-0.4968494,1.569646,-0.1608197,0.009782775,0.2234135,-0.05281086,-0.4924318,1.568833,-0.14824,-0.03175926,-0.0006129913,-0.02718639,0.03225215,0.0003509979,-0.02550877,0.1042175,-0.2180023,0.9703522,-0.01828003,-0.2294159,0.9731445,0.4368806,-0.2685949,0.8584825,-0.503656,1.569802,-0.1720591,0.002802444,0.002695908,0.5279699,0.6717657,0.4992962,0.6321014,
0.1657715,57790719612,-0.3464157,0.3388891,0.0575601,-0.2662126,1.20111,0.05010533,-0.2627946,0.2278609,0.0485911,-0.4028026,1.099468,0.1266955,-0.3464157,0.3388891,0.0575601,-0.2662126,1.20111,0.05010533,-0.2627946,0.2278609,0.0485911,-0.4028026,1.099468,0.1266955,0.009946353,0.2244049,-0.05289639,-0.4968494,1.569646,-0.1608197,0.00977864,0.2234018,-0.05280554,-0.4924264,1.568832,-0.148231,-0.03176108,-0.0006719818,-0.02694989,0.03225304,0.0003508301,-0.02551379,0.1047363,-0.2223206,0.9693146,-0.01828003,-0.2295685,0.973114,0.4366259,-0.2708145,0.8579146,-0.5036033,1.569766,-0.1719459,0.002796234,0.00269455,0.5280327,0.6718658,0.4993233,0.6321766,
0.1657715,57790727943,-0.3464157,0.3388891,0.0575601,-0.2662126,1.20111,0.05010533,-0.2627946,0.2278609,0.0485911,-0.4028026,1.099468,0.1266955,-0.3464157,0.3388891,0.0575601,-0.2662126,1.20111,0.05010533,-0.2627946,0.2278609,0.0485911,-0.4028026,1.099468,0.1266955,0.009946353,0.2244049,-0.05289639,-0.4968494,1.569646,-0.1608197,0.009774505,0.2233901,-0.05280023,-0.4924209,1.56883,-0.148222,-0.03175975,-0.0006681518,-0.02697076,0.03225394,0.0003505707,-0.02551839,0.1053162,-0.2223816,0.9692383,-0.01780701,-0.2292786,0.9731903,0.4370942,-0.2707419,0.857699,-0.5036017,1.569767,-0.1719492,0.002800278,0.002693451,0.5281107,0.6718447,0.4994155,0.6321877,
