Time,Tobii_Timestamp,GlobalDominantHand_Rotation_X,GlobalDominantHand_Rotation_Y,GlobalDominantHand_Rotation_Z,GlobalDominantHand_Position_X,GlobalDominantHand_Position_Y,GlobalDominantHand_Position_Z,GlobalNonDominantHand_Rotation_X,GlobalNonDominantHand_Rotation_Y,GlobalNonDominantHand_Rotation_Z,GlobalNonDominantHand_Position_X,GlobalNonDominantHand_Position_Y,GlobalNonDominantHand_Position_Z,LocalDominantHand_Rotation_X,LocalDominantHand_Rotation_Y,LocalDominantHand_Rotation_Z,LocalDominantHand_Position_X,LocalDominantHand_Position_Y,LocalDominantHand_Position_Z,LocalNonDominantHand_Rotation_X,LocalNonDominantHand_Rotation_Y,LocalNonDominantHand_Rotation_Z,LocalNonDominantHand_Position_X,LocalNonDominantHand_Position_Y,LocalNonDominantHand_Position_Z,Camera_Rotation_X,Camera_Rotation_Y,Camera_Rotation_Z,Camera_Position_X,Camera_Position_Y,Camera_Position_Z,Head_Rotation_X,Head_Rotation_Y,Head_Rotation_Z,Head_Position_X,Head_Position_Y,Head_Position_Z,Eye_GazePosition_Left_Position_X,Eye_GazePosition_Left_Position_Y,Eye_GazePosition_Left_Position_Z,Eye_GazePosition_Right_Position_X,Eye_GazePosition_Right_Position_Y,Eye_GazePosition_Right_Position_Z,Eye_GazeDirection_Left_Position_X,Eye_GazeDirection_Left__Position_Y,Eye_GazeDirection_Left__Position_Z,Eye_GazeDirection_Right_Position_X,Eye_GazeDirection_Right__Position_Y,Eye_GazeDirection_Right__Position_Z,CombinedGazeRayWorld_Eye_Direction_X,CombinedGazeRayWorld_Eye_Direction_Y,CombinedGazeRayWorld_Eye_Direction_Z,CombinedGazeRayWorld_Eye_Position_X,CombinedGazeRayWorld_Eye_Position_Y,CombinedGazeRayWorld_Eye_Position_Z,PupilDiameter_Left,PupilDiameter_Right,PupilPositionInTrackingArea_Left_X,PupilPositionInTrackingArea_Left_Y,PupilPositionInTrackingArea_Right_X,PupilPositionInTrackingArea_Right_Y,UserAreaInput
0,52146215878,-0.2950296,0.02406823,0.04756052,-0.3276259,1.237132,0.1257921,-0.3815219,-0.1086718,-0.03275441,-0.5017468,1.112086,0.114964,-0.2950296,0.02406823,0.04756052,-0.3276259,1.237132,0.1257921,-0.3815219,-0.1086718,-0.03275441,-0.5017468,1.112086,0.114964,-0.001062067,-0.1192575,0.02273187,-0.4456897,1.527968,-0.1234468,-0.00189702,-0.119469,0.02277774,-0.4491523,1.528076,-0.1091861,-0.02966412,0.00831131,-0.01531085,0.02964941,0.005627808,-0.01604375,0.02708435,0.007461548,0.9996033,-0.08779907,0.009872437,0.9960785,-0.2670285,0.005607831,0.9636723,-0.445752,1.535064,-0.1244817,0.004120376,0.003703766,0.5754066,0.242774,0.420121,0.3345892,POSX5G
0,52146224209,-0.2950296,0.02406823,0.04756052,-0.3276259,1.237132,0.1257921,-0.3815219,-0.1086718,-0.03275441,-0.5017468,1.112086,0.114964,-0.2950296,0.02406823,0.04756052,-0.3276259,1.237132,0.1257921,-0.3815219,-0.1086718,-0.03275441,-0.5017468,1.112086,0.114964,-0.001062067,-0.1192575,0.02273187,-0.4456897,1.527968,-0.1234468,-0.001600403,-0.119385,0.02275078,-0.4491617,1.528014,-0.1090898,-0.02965982,0.008316772,-0.01531825,0.02964934,0.005635071,-0.01606053,0.0304718,0.005844116,0.9995117,-0.08834839,0.01022339,0.9960327,-0.2654592,0.004465186,0.9641118,-0.4457597,1.535017,-0.1243932,0.004090073,0.003703873,0.5761487,0.2429256,0.4200253,0.3344298,POSX5G
0.03363037,52146232541,-0.302936,0.021723,0.04753337,-0.3276461,1.238441,0.1243988,-0.3811684,-0.1087958,-0.03404466,-0.5015799,1.111948,0.1150755,-0.302936,0.021723,0.04753337,-0.3276461,1.238441,0.1243988,-0.3811684,-0.1087958,-0.03404466,-0.5015799,1.111948,0.1150755,-0.0008171587,-0.1191818,0.02277598,-0.4456735,1.527896,-0.1233783,-0.001433096,-0.1193531,0.02271094,-0.44919,1.527977,-0.1090358,-0.02966151,0.008314911,-0.01530502,0.02964957,0.005642075,-0.01607567,0.02854919,0.00982666,0.9995422,-0.08825684,0.01014709,0.9960327,-0.2663548,0.006060164,0.963856,-0.4457894,1.534989,-0.1243382,0.00412413,0.003708404,0.5757421,0.2422001,0.4200457,0.3343367,POSX5G
0.03363037,52146240872,-0.302936,0.021723,0.04753337,-0.3276461,1.238441,0.1243988,-0.3811684,-0.1087958,-0.03404466,-0.5015799,1.111948,0.1150755,-0.302936,0.021723,0.04753337,-0.3276461,1.238441,0.1243988,-0.3811684,-0.1087958,-0.03404466,-0.5015799,1.111948,0.1150755,-0.0008171587,-0.1191818,0.02277598,-0.4456735,1.527896,-0.1233783,-0.00129196,-0.1193324,0.02267529,-0.4492208,1.527948,-0.1089866,-0.02966293,0.008313751,-0.01529613,0.02965015,0.005648102,-0.01608852,0.02624512,0.01153564,0.999588,-0.08808899,0.008102417,0.9960785,-0.2673293,0.005575725,0.9635891,-0.4458207,1.534966,-0.1242892,0.004137833,0.003707062,0.5752919,0.2418769,0.4200799,0.334571,POSX5G
0.03363037,52146249204,-0.302936,0.021723,0.04753337,-0.3276461,1.238441,0.1243988,-0.3811684,-0.1087958,-0.03404466,-0.5015799,1.111948,0.1150755,-0.302936,0.021723,0.04753337,-0.3276461,1.238441,0.1243988,-0.3811684,-0.1087958,-0.03404466,-0.5015799,1.111948,0.1150755,-0.0008171587,-0.1191818,0.02277598,-0.4456735,1.527896,-0.1233783,-0.001092743,-0.1192675,0.02272432,-0.4492389,1.527923,-0.1088886,-0.02965947,0.00832019,-0.01530357,0.0296507,0.005654816,-0.01610307,0.02816772,0.01161194,0.999527,-0.08778381,0.007736206,0.996109,-0.266116,0.005076019,0.9639277,-0.4458377,1.534954,-0.1241992,0.004138931,0.003705902,0.5757332,0.2417039,0.4201386,0.3345316,POSX5G
0.03363037,52146257535,-0.302936,0.021723,0.04753337,-0.3276461,1.238441,0.1243988,-0.3811684,-0.1087958,-0.03404466,-0.5015799,1.111948,0.1150755,-0.302936,0.021723,0.04753337,-0.3276461,1.238441,0.1243988,-0.3811684,-0.1087958,-0.03404466,-0.5015799,1.111948,0.1150755,-0.0008171587,-0.1191818,0.02277598,-0.4456735,1.527896,-0.1233783,-0.00101265,-0.1192422,0.02274077,-0.4492379,1.527903,-0.1088596,-0.02965892,0.008316177,-0.01528705,0.02965283,0.005645004,-0.01606903,0.0282135,0.01039124,0.9995422,-0.08706665,0.008636475,0.9961548,-0.2656882,0.004770745,0.9640473,-0.4458423,1.534929,-0.1241444,0.00412117,0.003713867,0.5757679,0.2419331,0.4203515,0.3344535,POSX5G
0.04394531,52146265867,-0.3044953,0.02184942,0.048126,-0.3276564,1.238961,0.1242136,-0.3812348,-0.1086023,-0.033838,-0.5015233,1.11192,0.1150459,-0.3044953,0.02184942,0.048126,-0.3276564,1.238961,0.1242136,-0.3812348,-0.1086023,-0.033838,-0.5015233,1.11192,0.1150459,-0.0001917375,-0.1187733,0.02305065,-0.4455844,1.527874,-0.123191,-0.0009542314,-0.1192242,0.02275129,-0.4492335,1.527884,-0.1088431,-0.02965863,0.008314453,-0.01527588,0.02965495,0.005636673,-0.0160392,0.02772522,0.01249695,0.999527,-0.08633423,0.009231567,0.9962158,-0.2655895,0.006009463,0.9640675,-0.4458422,1.534907,-0.124107,0.004136078,0.003713669,0.5756837,0.2415393,0.4205532,0.3343969,POSX5G
0.05462646,52146274199,-0.3053004,0.02282334,0.04943247,-0.327429,1.238961,0.1240389,-0.381312,-0.1085358,-0.03351938,-0.5015903,1.111957,0.1150773,-0.3053004,0.02282334,0.04943247,-0.327429,1.238961,0.1240389,-0.381312,-0.1085358,-0.03351938,-0.5015903,1.111957,0.1150773,-8.962826E-05,-0.1185512,0.02313451,-0.4455558,1.527861,-0.1231618,-0.0008958125,-0.1192061,0.02276181,-0.4492291,1.527865,-0.1088267,-0.02965529,0.008320557,-0.01528427,0.02965729,0.005631348,-0.01601657,0.02882385,0.01069641,0.999527,-0.08505249,0.01205444,0.9962921,-0.2644246,0.00645705,0.9643848,-0.4458376,1.534891,-0.1240823,0.004123459,0.003724915,0.5759853,0.2417205,0.4208713,0.3339685,POSX5G
0.07092285,52146282530,-0.3062753,0.02309851,0.05126084,-0.3273795,1.239325,0.1239014,-0.381032,-0.1084824,-0.03334187,-0.5015631,1.111922,0.1150831,-0.3062753,0.02309851,0.05126084,-0.3273795,1.239325,0.1239014,-0.381032,-0.1084824,-0.03334187,-0.5015631,1.111922,0.1150831,0.0001197462,-0.1183535,0.02323441,-0.4455678,1.527853,-0.1231092,-0.0008374006,-0.119188,0.02277233,-0.4492247,1.527846,-0.1088102,-0.02965277,0.008326309,-0.01529201,0.02965878,0.005627121,-0.01599792,0.02957153,0.00958252,0.9995117,-0.08459473,0.01527405,0.9962921,-0.2638501,0.007420267,0.9645352,-0.4458333,1.534874,-0.1240594,0.004126694,0.003728745,0.5761917,0.2417825,0.4210173,0.3334533,POSX5G
0.07092285,52146290862,-0.3062753,0.02309851,0.05126084,-0.3273795,1.239325,0.1239014,-0.381032,-0.1084824,-0.03334187,-0.5015631,1.111922,0.1150831,-0.3062753,0.02309851,0.05126084,-0.3273795,1.239325,0.1239014,-0.381032,-0.1084824,-0.03334187,-0.5015631,1.111922,0.1150831,0.0001197462,-0.1183535,0.02323441,-0.4455678,1.527853,-0.1231092,-0.0004420713,-0.1189368,0.02294071,-0.4491622,1.527814,-0.1086904,-0.02965041,0.008331299,-0.01529738,0.02965877,0.005637466,-0.01602396,0.03022766,0.008255005,0.9994965,-0.08454895,0.01420593,0.9963074,-0.2629587,0.005418068,0.9647919,-0.4457774,1.534863,-0.1239512,0.004112427,0.003725616,0.5763897,0.2418892,0.4210072,0.3334961,POSX5G
